NAME,TYPE,Rah,_m,_s,RA,DEd,_m_,s,Dec,GLON,GLAT,Pos,e_Pos,Opt,r_Opt,A,Vmag,B,Vmag1,u_vm,ag,B-V,u_B-V,C,D,E,U-B,F,G,r_Fx,H,porb,r_Ppu,lse,cat,Name3
J0648.0-4419,P,6,48,4.6,6:48:4.6,-44,18,54.4,-44:18:54.4,253.7,-19.1,x,10,HD49798,329,,8.27,-,0.24,-1.1,8,,,344,,,0.03,,,,,1.55,"13.1789    329,684",,"R,B                       sdO6",
0726-260,TP,7,28,53.4,7:28:53.4,-26,6,28,-26:6:28,240.3,-4.1,o,,star,654,,11.6,,0.3,-0.6,,0.6,,"515,654",,,1.2,-,4.7,"743,781",,34.5,103.2       131,,"U,A,E,H,R,X               O8-9",Ve
0739-529,,7,47,23.5,7:47:23.5,-53,19,58,-53:19:58,266.4,-13.7,o,,HD63666,646,,7.62,,0.02,-0.2,4,,,"293,437,518,698",,,0.7,,,781,,,,,H                         B7IV,#NAME?
0749-600,,7,56,15.8,7:56:15.8,-61,5,59,-61:5:59,274,-16.2,o,,HD65663,646,,6.73,,0.05,-0.2,5,0.09,,"153,154,698",,,0.7,,,781,,,,,H                         B8II,"Ie                     ,SAO250018"
J0812.4-3114,TP,8,12,28.4,8:12:28.4,-31,14,51,-31:14:51,249.6,1.6,x,21,LS 992,500,,12.42,,0.41,-0.6,9,,,500,,,0.6,,,500,,80,"31.8851    125,577",,"R,X                       B0.5",V-IIIe
0834-430,TP,8,35,55,8:35:55,-43,11,6,-43:11:6,262,-1.5,x,60,star   *D,334a,,20.4,,,,,4,,334a,,,30,-,300,239,,110,"12.3       239,773",,"Gr,R,K,G,C                B0-2",III-Ve
0900-403,P,9,2,6.9,9:2:6.9,-40,33,17,-40:33:17,263.1,3.9,o,,HD77581,213,,6.9,,0.47,-0.5,1,0.7,,"183,495,518,717",,,2,-,1100,63,,8.96,"283.        162,508,711",,"U,M,A,H,B,X,AS,R          B0.5","Ib       Vela X-1      ,GP Vel"
J1008-57,TP,10,9,46,10:9:46,-58,17,32,-58:17:32,283,-1.8,x,15,star,109,,15.27,-,1.66,,,-1.9,2,"109,587",,,1200,,,663,,135,"93.5       550,635,663",,"C,R,AS,Exo                O9-B",1
1024.0-5732,P,10,25,56.6,10:25:56.6,-57,48,42,-57:48:42,284.5,-0.2,o,6,Wack 2134,686,,12.7,,1.5,,,1.8,,81,,,1,-,10.   (0.2-4.5 keV),81,,,0.061     81,,E                         O5:,",TH{alpha} 35-42"
1036-565,,10,30,22.5,10:30:22.5,-57,4,39,-57:4:39,284.6,0.7,o,,HD91188,646,,6.64,-,0.1,-0.5,6,,,"221,518",,,3.3,,,743,,,,,A                         B4II,"Ie       4U 1036-56    ,SAO238130"
J1037.5-5647,P,10,37,35.2,10:37:35.2,-56,47,59,-56:47:59,285.4,1.5,x,21,LS 1698,500,,11.3,,0.9,,,0.75,,500,,,0.17,,,577,,,862.        577,,R                         B0V-,IIIe
1048.1-5937,P,10,50,7.9,10:50:7.9,-59,53,16,-59:53:16,288.2,-0.5,x,9,,477,,,,,,,,,,,<,0.1,-,1,632,,,"6.44      124,632",,E,
1118-615,PT,11,20,57.2,11:20:57.2,-61,54,58,-61:54:58,292.5,-0.9,o,,He3-640,339,,12.1,,0.96,-0.3,0,1.2,,339,,,0.1,-,70,"63, 497",,,405.        508,,A                         O9.5,III-Ve
1119-603,P,11,21,15.2,11:21:15.2,-60,37,24,-60:37:24,292.1,0.3,o,3,V779 Cen,"72,394",,13.3,,1.07,0,4,1.4,,"315,394,586",,,10,-,312,63,,2.09,"4.84      366,508",,"U,M,A,H                   O6.5",II-III  Cen X-3
1145-619,PT,11,48,0.1,11:48:0.1,-62,12,25,-62:12:25,295.6,-0.2,o,,Hen 715,64,,9.3,,0.18,-0.8,1,0.35,,"195,518,746",,,4,-,1000,63,,187.5,"292.4       508,748",,"U,M,A,H,S                 B1Vn","e                      ,HD102567"
1145.1-6141,P,11,47,28.6,11:47:28.6,-61,57,14,-61:57:14,295.5,0,o,2,V830 Cen,316,,13.1,,1.5,0.1,5,1.6,,"166,325",,,4,-,40,316,,5.65,"298.        325,508",,"A,E,C                     B2Ia",e
1223-624,PT,12,26,37.6,12:26:37.6,-62,46,13,-62:46:13,300.1,0,o,3,BP Cru,64,,10.8,,1.76,0.4,2,1.8,,"59,260,688,734",,,9,-,1000,63,,41.59,"696.        508,613",,"U,M,A,H,S,AS,C            B1-1",".5Ia     GX 301-2      ,Wra 977"
1239-599,P,12,42,1.7,12:42:1.7,-60,12,6,-60:12:6,301.8,2.6,x,30,,177,,,,,,,,,,,,3,-,16,"63,743,781",,,191.        297,,"A,H,S",
1244-604,T,12,47,35,12:47:35,-60,38,36,-60:38:36,302.5,2.2,x,372,,,,,,,,,,,,,<,24,-,100,82,,,,,A,
1246-588,T,12,49,36,12:49:36,-59,7,18,-59:7:18,302.7,3.8,x,270,,,,,,,,,,,,,<,24,-,300,82,,,,,"U,A,H",
1249-637,,12,42,50.4,12:42:50.4,-63,3,32,-63:3:32,302,-0.2,o,,HD110432,646,,5.31,,0.27,-0.7,9,0.4,,"103,518",,,2.2,,,781,,,,,H                         B0II,"Ie                     ,SAO252002"
1253-761,,12,39,15,12:39:15,-75,22,12,-75:22:12,302.1,-12.5,o,,HD109857,646,,6.49,,0.08,-0.2,4,0.2,,"103,518",,,0.6,,,781,,,,,H                         B7Vn,"e                      ,SAO256967"
1255-567,,12,54,37,12:54:37,-57,10,6,-57:10:6,303.4,5.7,o,,{mu}^2^ Cru,,,5.17,-,0.12,-0.5,1,0.04,,"518,639",,,0.8,,,781,,,,,H                         B5Ve,",HD1120912"
1258-613,PT?,13,1,17.2,13:1:17.2,-61,36,7,-61:36:7,302.1,1.2,o,2,V 850 Cen,465,,13.5,-14.2,1.7,0.8,,2,,"127,256,538",,,0.3,-,200,"63,554",,133.           ?,"272.        508,562",,"U,M,A,S                   B2Vn","e        GX 304-1      ,  *2 (MMV)"
J1324.4-6200,P,13,24,26.3,13:24:26.3,-62,0,53,-62:0:53,306.8,0.61,x,90,,,,,,,,,,,,,,0.4,,,13,,,170.84      13,,"B,AS,Exo,E",1323-6196
1417-624,PT,14,21,12.9,14:21:12.9,-62,41,54,-62:41:54,313,-1.6,o,,*7,18,,17.2,:,0.7  :-1,.7   0.8,,2,:,244,,,2,-,43,63,,42.12,"17.6       207,508",,"U,M,A,S,C                 OBe",
J1452.8-5949,P,14,52,49.3,14:52:49.3,-59,49,18,-59:49:18,317.6,-0.44,x,50,,,,,,,,,,,,,,0.04,,,522,,,437.4       522,,B,
1538-522,P,15,42,23.3,15:42:23.3,-52,23,10,-52:23:10,327.4,2.1,o,,QV Nor,17,,14.4,,1.9,0.6,,2.1,,"147,324,537",,<,3,-,30,63,,3.73,"529.        114,508",,"U,M,A,H,S                 B0Ia","b                      ,  *12"
1553-542,P,15,57,49.2,15:57:49.2,-54,24,52,-54:24:52,327.9,-0.9,x,3.5,,17,,,,,,,,,,,,27,,,63,,30.6,"9.3       367,508",,S,
1555-552,,15,54,22,15:54:22,-55,19,44,-55:19:44,327,-1.2,o,,HD141926,646,,8.6,,0.56,-0.4,3,,,"193,293",,,1.7,,,781,,,,,H                         B2nn,"e                      ,SAO243098"
1657-415,P,17,0,47.9,17:0:47.9,-41,40,23,-41:40:23,344.4,0.3,x,15,star,21,,,,,,,,,84,,,4,-,42,63,,10.4,"38.        84,205,508",,"OAO,B                     B0-B",6Ia-Iab
1700-377,,17,3,56.7,17:3:56.7,-37,50,39,-37:50:39,347.8,2.2,o,,HD153919,351,,6.6,,0.27,-0.7,2,0.52,,"259,263,547,778",,<,11,-,110,63,,3.41,"67,251,728",,"U,M,S,Gro,C,B             O6.5","f                      ,V884 Sco"
J170006-4157,P,17,0,5.3,17:0:5.3,-41,57,44,-41:57:44,344,0.25,x,60,,,,,,,,,,,,,,0.4,,,691,,,714.5       691,,AS,
1722-363,P,17,25,55,17:25:55,-36,24,42,-36:24:42,351.5,-0.6,x,540,,,,,,,,,,,,,,0.2,-,5,"672,676",,,"413.        508,676",,Exo,
J1739-302,T,17,38,53,17:38:53,-30,15,36,-30:15:36,358.1,0.56,x,180,,,,,,,,,,,,,,136,,(2-25 keV),645,,,,,X,
J1739.5-2942,,17,39,30.1,17:39:30.1,-29,42,7,-29:42:7,358.6,-0.74,x,19.2,,,,,,,,,,,,,,,,,,,,,,"X, C",
J1744.7-2713,,17,44,45.4,17:44:45.4,-27,13,47,-27:13:47,1.3,6  +1.1,x,18,HD161103,,,8.4,,0.44,-0.6,4,,,,,,0.06,,,,,,,,R                         B2V-,IIIe
J1749.2-2725,TP,17,49,10.1,17:49:10.1,-27,25,16,-27:25:16,1.7,0.1,x,60,,,,,,,,,,,,,,1.36,,,690,,,220.38      690,,AS,
J1750-27,P,17,49,12,17:49:12,-26,38,50,-26:38:50,2.4,0.5,x,120,,,,,,,,,,,,,,27,,,777,,29.8,"4.45      176,627",,"C,AS",
1807-10,T,18,10,42,18:10:42,-10,52,0,-10:52:0,18.6,3.9,x,4680,,,,,,,,,,,,,<,2,-,10,215,,,,,U,
J1820.5-1434,P,18,20,29.5,18:20:29.5,-14,34,24,-14:34:24,16.5,0.07,x,30,,,,,,,,,,,,,,1,,,376,,,152.26      376,,AS,
J1826.2-1450,,18,26,14.9,18:26:14.9,-14,50,29,-14:50:29,17.9,-1.29,x,22,LS 5039,500,,11.23,,0.94,-0.1,6,0.8,,500,,,0.3,,,500,,,,,R                         O7V(,(f))
